Address,Category,SubCategory,Name,Url,UrlImage,Price,PriceWithoutDiscount
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Гель для умывания Самокат Green gel, с экстрактами шпината и брокколи, 150 мл",https://samokat.ru/product/gel-dlya-umyvaniya-samokat-green-gel-s-ekstraktami-shpinata-i-brokkoli-150-ml,https://cm.samokat.ru/processed/m/product_card/f9b7d41d-4fe3-4032-99c6-847fd40adee4.jpg,245,349
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Гель для умывания Самокат Pimple killer gel, для проблемной кожи, 150 мл",https://samokat.ru/product/gel-dlya-umyvaniya-samokat-pimple-killer-gel-dlya-problemnoj-kozhi-150-ml,https://cm.samokat.ru/processed/m/product_card/a7d95e0f-c143-4cbf-84c0-6dfb70851785.jpg,275,389
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Пенка для умывания Самокат Marine foam, для чувствительной кожи, 160 мл",https://samokat.ru/product/penka-dlya-umyvaniya-samokat-marine-foam-dlya-chuvstvitelnoj-kozhi-160-ml,https://cm.samokat.ru/processed/m/product_card/984e1fc1-0671-4c72-a273-8fb7c8666d2a.jpg,345,489
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Мицеллярная вода Самокат Bamboo & Cactus, для снятия макияжа, 250 мл",https://samokat.ru/product/voda-micellyarnaya-samokat-bamboo-and-cactus-dlya-snyatiya-makiyazha-250-ml,https://cm.samokat.ru/processed/m/public/780ffb836467995f_2200896000001.jpg,225,319
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Гель для умывания Чистая линия Идеальная кожа для смешанной и чувствительной кожи, 160 мл",https://samokat.ru/product/gel-dlya-umyvaniya-chistaya-liniya-idealnaya-kozha-dlya-smeshannoj-i-chuvstvitelnoj-kozhi-160-ml,https://cm.samokat.ru/processed/m/product_card/8a2aa8e9-2a70-4a99-a575-af348ca13af1.jpg,159,204
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Гель для умывания L’Oréal Paris бесконечная свежесть, для нормальной и смешанной кожи, 150 мл",https://samokat.ru/product/gel-dlya-umyvaniya-loreal-paris-beskonechnaya-svezhest-dlya-normalnoj-i-smeshannoj-kozhi-150-ml,https://cm.samokat.ru/processed/m/original/167604_1594934035.jpg,485,485
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Баттер для умывания Самокат Papaya butter, для сухой и чувствительной кожи, 100 мл",https://samokat.ru/product/batter-dlya-umyvaniya-samokat-papaya-butter-dlya-suhoj-i-chuvstvitelnoj-kozhi-100-ml,https://cm.samokat.ru/processed/m/original/144301_829531444.jpg,235,389
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Вода мицеллярная Dove увлажняющая, для снятия макияжа, с гиалуроновой кислотой, 400 мл",https://samokat.ru/product/voda-micellyarnaya-dove-uvlazhnyayuschaya-dlya-snyatiya-makiyazha-s-gialuronovoj-kislotoj-400-ml,https://cm.samokat.ru/processed/m/public/6cbea56a695eda59_8720633000940.jpg,406,406
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Из Кореи: Маска для лица Самокат Magic Recovery тканевая, восстанавливающая, 1 шт.",https://samokat.ru/product/bc5af4c3-7bc7-11ed-b96e-08c0eb32008b,https://cm.samokat.ru/processed/m/public/89856928932adf7a_2200544000001-1.jpg,119,149
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Из Кореи: Маска для лица Самокат Natural Moistening тканевая, выравнивающая тон, 1 шт.",https://samokat.ru/product/bc5af4da-7bc7-11ed-b96e-08c0eb32008b,https://cm.samokat.ru/processed/m/public/b96d756b81b82641_2200543000002-1.jpg,129,165
